TICKET,CODIGO
ISHARES BOVACI,BOVA11
ITAUBANCOPN,ITUB4
ITAUSAON,ITSA3
ITAUSAPN,ITSA4
ITAUUNIBANCOON,ITUB3
ITAUUNIBANCOPN,ITUB4
J B DUARTEON,JBDU3
J B DUARTEPN,JBDU4
JALLESMACHADON,JALL3
JBSON,JBSS3
JEREISSATI PPN,JPSA3
JEREISSATION,JPSA3
JHSF PARTON,JHSF3
JOAO FORTESON,JFEN3
JOSAPARON,JOPA3
JOSAPARPN,JOPA4
JSLON,JSLG3
KARSTENON,CTKA3
KARSTENPN,CTKA4
KEPLER WEBERON,KEPL3
KLABIN S.A.UNT,KLBN11
KLABIN S/AON,KLBN3
KLABIN S/APN,KLBN4
KLABIN S/AUNT N2,KLBN11
KROTON EDUCAON,COGN3
KROTONON,COGN3
KROTONUCAON,COGN3
LAVVION,LAVV3
LE LIS BLANCON,LLIS3
LIFEMEDON,LMED3
LIGHT S/AON,LIGT3
LINXON,LINX3
LITELAON,LTLA3B
LITELON,LTEL3B
LOCALIZAON,RENT3
LOCAMERICAON,LCAM3
LOCAWEBON,LWSA3
LOG COM PROPON,LOGG3
LOG-INON,LOGN3
LOJAS AMERICON,LAME3
LOJAS AMERICPN,LAME4
LOJAS MARISAON,AMAR3
LOJAS RENNERON,LREN3
LOPES BRASILON,LPSB3
LUPATECHON,LUPA3
M.DIASBRANCOON,MDIA3
MAESTROLOCON,MSRO3
MAGAZ LUIZAON,MGLU3
MAGAZINE LUION,MGLU3
MANGELS INDLON,MGEL3
MANGELS INDLPN,MGEL4
MARCOPOLO S.ON,POMO3
MARCOPOLO S.PN,POMO4
MARCOPOLOON,POMO3
MARCOPOLOPN,POMO4
MARFRIGON,MRFG3
MATER DEION,MATD3
MATERDEION,MATD3
MELHOR SPON,MSPA3
MELHOR SPPN,MSPA4
MELIUZON,CASH3
MELNICKON,MELK3
MENEZES CORTON,MNZC3B
MERC BRASILON,BMEB3
MERC BRASILPN,BMEB4
MERC FINANCON,MERC3
MERC FINANCPN,MERC4
MERC INVESTON,BMIN3
MERC INVESTPN,BMIN4
METAL IGUACUON,MTIG3
METAL IGUACUPN,MTIG4
METAL LEVEON,LEVE3
METALFRIOON,FRIO3
METISAON,MTSA3
METISAPN,MTSA4
MICROSOFT ,MSFT34
MILLSON,MILS3
MINASMAQUINASON,MMAQ3
MINASMAQUINASPN,MMAQ4
MINERVAON,BEEF3
MINUPARON,MNPR3
MITREON,MTRE3
MMX MINERON,MMXM3
MOBLYON,MBLY3
MONT ARANHAON,MOAR3
MOSAICO SAON,MOSI3
MOURA DUBEUXON,MDNE3
MOVIDAON,MOVI3
MRS LOGISTON,MRSA3B
MRS LOGISTPNA,MRSA5B
MRS LOGISTPNB,MRSA6B
MRVON,MRVE3
MULTIPLANON,MULT3
MUNDIALON,MNDL3
NEOENERGIAON,NEOE3
NEOGRIDON,NGRD3
NORD BRASILON,BNBR3
NORDON METON,NORD3
NORTCQUIMICAON,NRTQ3
NUTRIPLANTON,NUTR3
OCEANPACTON,OPCT3
ODERICHON,ODER3
ODERICHPN,ODER4
ODONTOPREVON,ODPV3
OION,OIBR3
OIPN,OIBR4
OMEGA GERON,OMGE3
OPPORT ENERGON,OPHE3B
ORIZONON,ORVR3
OSX BRASILON,OSXB3
OUROFINO S/AON,OFSA3
P.ACUCAR-CBDON,PCAR3
PADTECON,PDTC3
PAGUE MENOSON,PGMN3
PANATLANTICAON,PATI3
PANATLANTICAPN,PATI4
PAR AL BAHIAON,PEAB3
PAR AL BAHIAPN,PEAB4
PARANAPANEMA,PMAM3
PARANAPANEMAON,PMAM3
PBG S/AON,PTBL3
PDG REALTON,PDGR3
PET MANGUINHON,RPMG3
PETROBRAS BRON,BRDT3
PETROBRASON,PETR3
PETROBRASPN,PETR4
PETRORIOON,PRIO3
PETTENATION,PTNT3
PETTENATION,PTNT3
PETTENATIPN,PTNT4
PETZON,PETZ3
PINEON,PINE3
PINEPN,PINE4
PLANOEPLANOON,PLPL3
PLASCAR PARTON,PLAS3
POLPARON,PPAR3
POMIFRUTASON,FRTA3
PORTO SEGUROON,PSSA3
PORTOBELLOON,PTBL3
POSITIVO TECON,POSI3
PPLAUNT,PPLA11
PRATICAON,PTCA3
PRATICAPN RESG,PTCA11
PRINERON,PRNR3
PROFARMAON,PFRM3
PROMPTON,PRPT3B
QUALICORPON,QUAL3
QUALITY SOFTON,QUSW3
QUERO-QUEROON,LJQQ3
RAIADROGASILON,RADL3
RANDON PARTON,RAPT3
RANDON PARTPN,RAPT4
RECRUSULON,RCSL3
RECRUSULPN,RCSL4
REDE D ORON,RDOR3
REDE ENERGIAON,REDE3
RENOVAON,RNEW3
RENOVAPN,RNEW4
RENOVAUNT N2,RNEW11
RIOSULENSEON,RSUL3
RIOSULENSEPN,RSUL4
RNION,RDNI3
ROSSI RESIDON,RSID3
RUMO LOGON,RAIL3
RUMO S.A.ON,RAIL3
SABESPON,SBSP3
SANEPARON,SAPR3
SANEPARPN,SAPR4
SANEPARUNT N2,SAPR11
SANSUYON,SNSY3
SANSUYPNA,SNSY5
SANSUYPNB,SNSY6
SANTANDER BRON,SANB3
SANTANDER BRPN,SANB4
SANTANDER BRUNT,SANB11
SANTANENSEON,CTSA3
SANTANENSEPN,CTSA4
SANTANENSEPND,CTSA8
SANTOS BRPON,STBP3
SAO CARLOSON,SCAR3
SAO MARTINHOON,SMTO3
SARAIVA LIVRON,SLED3
SARAIVA LIVRPN,SLED4
SCHULZON,SHUL3
SCHULZPN,SHUL4
SEG AL BAHIAON,CSAB3
SEG AL BAHIAPN,CSAB4
SEQUOIA LOGON,SEQL3
SER EDUCAON,SEER3
SERUCAON,SEER3
SID NACIONALON,CSNA3
SIMPARON,SIMH3
SINQIAON,SQIA3
SLC AGRICOLAON,SLCE3
SLC AGRICOLAON ED,SLCE3
SMART FITON,SMFT3
SMILESON,SMLS3
SONDOTECNICAON,SOND3
SONDOTECNICAPNA,SOND5
SONDOTECNICAPNB,SOND6
SPRINGSON,SGPS3
SPTURISON,AHEB3
SPTURISPNA,AHEB5
SPTURISPNB,AHEB6
STARAON,STTR3
STATKRAFTON,STKF3
SUDESTEON,OPSE3B
SUL 116 PARTON,OPTS3B
SUL AMERICAON,SULA3
SUL AMERICAPN,SULA4
SUL AMERICAUNT N2,SULA11
SUZANO HOLDON,NEMO3
SUZANO HOLDPNA,NEMO5
SUZANO HOLDPNB,NEMO6
SUZANO PAPELON,SUZB3
SUZANO PAPELPNA,SUZB5
SUZANO S.A.ON,SUZB3
TAESAON,TAEE3
TAESAPN,TAEE4
TAESAUNT N2,TAEE11
TAURUS ARMASON,TASA3
TAURUS ARMASPN,TASA4
TECHNOSON,TECN3
TECNISAON,TCSA3
TECNOSOLOON,TCNO3
TECNOSOLOPN,TCNO4
TEGMA GESTAOON,TGMA3
TEGMAON,TGMA3
TEKAON,TEKA3
TEKAPN,TEKA4
TEKNOON,TKNO3
TEKNOPN,TKNO4
TELEBRASON,TELB3
TELEBRASPN,TELB4
TELEF BRASILON,VIVT3
TENDAON,TEND3
TERRA SANTA PA,LAND3
TERRA SANTAON,TESA3
TERRA SANTAPA,LAND3
TERRASANTAPA,LAND3
TEX RENAUXON,TXRX3
TEX RENAUXPN,TXRX4
TIME FOR FUNON,SHOW3
TIMON,TIMS3
TOTVSON,TOTS3
TRACK FIELDPN,TFCO4
TRAN PAULISTON,TRPL3
